"ID","Lable","RansomwareFamily","API","DROP","FILES","FILES_EXT","DIR"
"10002","1","3","46","0","3","3","0"
"10003","1","2","19","0","0","0","0"
"10005","1","5","27","0","0","0","0"
"10006","1","7","96","2","17","12","6"
"10007","1","5","35","0","4","1","0"
"10008","1","6","21","0","2","2","0"
"10011","1","1","73","2","7","8","5"
"10013","1","6","14","0","0","0","0"
"10014","1","6","56","0","0","0","3"
"10019","1","4","16","0","0","0","0"
"10022","1","9","47","0","3","1","6"
"10024","1","7","45","0","5","2","0"
"10028","1","7","96","2","17","12","6"
"10029","1","6","45","0","2","2","0"
"10031","1","2","72","2","8","9","5"
"10035","1","7","14","0","0","0","0"
"10036","1","6","96","3","53","22","128"
"10037","1","7","10","0","0","0","0"
"10038","1","9","63","2","31","9","10"
"10039","1","2","25","0","0","0","0"
"10040","1","7","37","0","5","2","0"
"10042","1","9","47","0","3","1","6"
"10043","1","7","26","0","0","0","0"
"10044","1","2","15","0","0","0","0"
"10049","1","9","52","1","8","4","0"
"10050","1","2","86","2","16","9","8"
"10057","1","6","50","0","5","2","0"
"10060","1","9","47","0","3","1","6"
"10061","1","9","44","0","7","4","0"
"10064","1","3","68","0","6","4","0"
"10068","1","4","62","0","6","2","0"
"10069","1","6","29","0","0","0","0"
"10070","1","1","72","2","7","8","5"
"10078","1","11","35","0","2","2","0"
"10079","1","4","47","0","6","3","0"
"10082","1","11","53","1","8","8","0"
"10083","1","4","12","0","0","0","0"
"10085","1","3","11","0","0","0","0"
"10086","1","1","72","2","7","8","5"
"10089","1","1","72","2","7","8","5"
"10091","1","9","47","0","9","4","0"
"10097","1","5","39","0","1","0","0"
"10100","1","11","18","0","0","0","0"
"10101","1","3","17","0","0","0","0"
"10102","1","6","52","0","4","4","0"
"10104","1","9","36","0","1","1","0"
"10107","1","2","46","0","8","3","0"
"10108","1","2","37","0","1","0","0"
"10111","1","5","42","0","4","0","0"
"10112","1","9","16","0","0","0","0"
"10113","1","4","18","0","0","0","0"
"10114","1","7","96","2","17","12","6"
"10115","1","9","38","0","1","1","0"
"10117","1","1","76","2","8","10","5"
"10119","1","3","50","1","5","4","0"
"10122","1","6","94","3","85","38","420"
"10123","1","2","55","0","4","4","0"
"10124","1","1","72","2","7","8","5"
"10131","1","2","42","0","5","2","0"
"10133","1","6","95","1","15","5","17"
"10134","1","3","11","0","0","0","0"
"10135","1","9","52","1","8","4","0"
"10136","1","6","73","0","6","4","0"
"10138","1","9","27","0","1","1","0"
"10140","1","4","12","0","0","0","0"
"10141","1","10","1","0","0","0","0"
"10142","1","2","25","0","0","0","0"
"10143","1","9","17","0","0","0","0"
"10145","1","6","36","0","0","0","0"
"10148","1","6","31","0","0","0","11"
"10149","1","7","54","0","4","4","0"
"10150","1","5","66","1","5","6","0"
"10152","1","9","12","0","0","0","0"
"10154","1","3","24","0","0","0","0"
"10155","1","2","29","0","2","2","0"
"10158","1","7","34","0","2","2","0"
"10161","1","3","49","0","5","3","0"
"10162","1","1","72","2","7","8","5"
"10165","1","2","72","2","8","9","5"
"10166","1","2","46","0","8","3","0"
"10169","1","7","59","0","9","5","116"
"10171","1","7","21","0","0","0","0"
"10175","1","6","51","0","4","4","0"
"10176","1","6","53","0","3","3","0"
"10177","1","9","52","1","8","4","0"
"10178","1","7","14","0","0","0","0"
"10180","1","11","15","0","0","0","0"
"10184","1","2","6","0","0","0","0"
"10190","1","2","47","0","9","4","0"
"10191","1","6","51","0","1","1","0"
"10193","1","3","31","0","0","0","11"
"10200","1","6","50","2","6","5","0"
"10203","1","11","75","1","5","5","0"
"10206","1","3","12","0","0","0","0"
"10208","1","6","51","0","4","4","0"
"10209","1","9","54","2","8","8","4"
"10212","1","2","57","0","7","4","0"
"10213","1","7","16","0","0","0","0"
"10216","1","9","20","0","1","1","0"
"10222","1","9","16","0","0","0","0"
"10223","1","3","11","0","0","0","0"
"10225","1","6","14","0","0","0","0"
"10228","1","8","96","1","9","7","0"
"10231","1","9","47","0","3","1","6"
"10233","1","5","30","0","0","0","0"
"10235","1","2","20","0","0","0","0"
"10236","1","9","47","0","3","1","6"
"10239","1","4","31","0","0","0","11"
"10240","1","6","14","0","0","0","0"
"10241","1","7","61","0","8","5","116"
"10246","1","4","15","0","0","0","0"
"10247","1","6","51","0","4","4","0"
"10249","1","2","17","0","0","0","0"
"10250","1","4","8","0","0","0","0"
"10251","1","4","8","0","0","0","0"
"10253","1","9","16","0","1","0","0"
"10254","1","6","33","0","0","0","0"
"10255","1","7","24","0","0","0","0"
"10257","1","2","88","0","8","5","3"
"10258","1","2","42","1","4","6","5"
"10262","1","5","14","0","0","0","0"
"10263","1","6","58","0","5","5","0"
"10267","1","9","54","2","8","8","4"
"10268","1","2","15","0","0","0","0"
"10269","1","4","20","0","0","0","0"
"10270","1","7","96","2","17","12","6"
"10271","1","6","14","0","0","0","0"
"10272","1","9","47","0","3","1","6"
"10274","1","6","40","0","0","0","1"
"10275","1","6","51","0","4","4","0"
"10279","1","3","63","0","6","4","0"
"10286","1","9","53","2","13","8","2"
"10287","1","9","47","0","3","1","6"
"10289","1","3","11","0","0","0","0"
"10290","1","6","58","0","5","5","0"
"10292","1","5","66","0","4","5","0"
"10293","1","1","72","2","7","8","5"
"10294","1","7","96","2","17","12","6"
"10295","1","2","46","0","8","3","0"
"10296","1","9","47","0","3","1","6"
"10299","1","9","47","0","3","1","6"
"10301","1","1","28","0","0","0","4"
"10302","1","2","11","0","0","0","0"
"10304","1","7","16","0","0","0","0"
"10306","1","10","64","1","12","5","0"
"10307","1","9","62","2","31","10","10"
"10310","1","9","30","0","1","1","0"
"10313","1","5","25","0","1","0","0"
"10314","1","2","16","0","1","1","0"
"10316","1","6","35","0","0","0","0"
"10320","1","6","73","0","6","4","0"
"10322","1","9","16","0","0","0","0"
"10323","1","6","75","0","8","3","0"
"10324","1","7","27","0","0","0","0"
"10325","1","3","21","0","0","0","0"
"10327","1","5","16","0","0","0","0"
"10330","1","3","69","2","7","11","5"
"10337","1","7","54","0","5","4","0"
"10339","1","11","22","0","0","0","0"
"10341","1","6","56","0","5","5","0"
"10342","1","7","96","2","17","12","6"
"10343","1","7","50","2","6","5","0"
"10345","1","9","12","0","0","0","0"
"10348","1","9","80","3","32","11","10"
"10349","1","7","18","0","0","0","0"
"10350","1","5","34","0","3","0","0"
"10351","1","9","72","2","12","8","5"
"10352","1","7","10","0","0","0","0"
"10357","1","6","43","0","5","3","0"
"10358","1","2","58","0","7","4","0"
"10361","1","9","47","0","3","1","6"
"10364","1","2","30","0","2","2","0"
"10367","1","6","42","0","5","5","0"
"10373","1","7","44","1","7","7","0"
"10374","1","5","17","0","0","0","0"
"10375","1","6","84","1","12","8","1"
"10376","1","6","60","0","6","4","0"
"10378","1","7","30","0","0","0","4"
"10381","1","2","16","0","0","0","0"
"10383","1","2","47","0","9","4","0"
"10384","1","6","70","0","8","3","3"
"10385","1","5","35","0","0","0","4"
"10388","1","6","43","0","5","2","0"
"10395","1","2","54","0","9","4","4"
"10398","1","11","34","0","2","2","0"
"10399","1","3","59","4","12","14","12"
"10400","1","11","8","0","0","0","0"
"10404","1","1","11","0","0","0","0"
"10405","1","9","47","0","8","4","1"
"10407","1","1","67","0","6","4","0"
"10409","1","9","45","0","5","2","0"
"10410","1","5","28","0","0","0","0"
"10413","1","6","51","0","4","4","0"
"10415","1","11","8","0","0","0","0"
"10417","1","6","39","0","5","2","0"
"10418","1","7","63","1","7","7","0"
"10419","1","6","35","0","0","0","0"
"10422","1","5","17","0","0","0","0"
"10424","1","6","43","0","5","2","0"
"10425","1","9","27","0","1","1","0"
"10427","1","6","28","0","3","0","1"
"10429","1","5","49","0","4","1","0"
"10430","1","1","72","2","7","8","5"
"10434","1","2","46","0","8","3","0"
"10435","1","6","92","3","61","22","178"
"10436","1","11","40","0","5","2","0"
"10437","1","5","30","0","0","0","0"
"10441","1","6","51","0","4","4","0"
"10442","1","7","16","0","0","0","0"
"10443","1","2","16","0","0","0","0"
"10444","1","2","53","0","9","4","4"
"10446","1","11","37","0","0","0","0"
"10447","1","5","28","0","0","0","0"
"10448","1","9","47","0","8","4","1"
"10450","1","2","48","0","9","4","0"
"10452","1","3","26","0","0","0","4"
"10454","1","2","19","0","0","0","0"
"10455","1","2","14","0","0","0","0"
"10456","1","7","8","0","0","0","0"
"10457","1","10","16","0","1","0","0"
"10458","1","2","48","0","9","4","0"
"10459","1","2","79","2","15","11","6"
"10461","1","8","68","0","9","7","7"
"10462","1","2","23","0","0","0","1"
"10467","1","2","28","0","0","0","0"
"10469","1","9","30","0","1","1","0"
"10470","1","2","48","0","9","4","0"
"10472","1","2","15","0","0","0","0"
"10473","1","9","47","0","3","1","6"
"10474","1","11","72","2","7","8","5"
"10475","1","1","72","2","7","8","5"
"10477","1","9","51","2","8","8","4"
"10479","1","7","16","0","0","0","0"
"10480","1","9","62","2","31","10","10"
"10481","1","2","43","0","5","2","0"
"10482","1","6","12","0","0","0","0"
"10483","1","2","19","0","0","0","0"
"10486","1","9","47","0","3","1","6"
"10489","1","2","69","0","7","5","0"
"10490","1","2","48","0","9","4","0"
"10491","1","9","47","0","3","1","6"
"10495","1","1","72","2","7","8","5"
"10498","1","3","11","0","0","0","0"
"10499","1","7","16","0","0","0","0"
"10500","1","5","68","1","7","6","1"
"10501","1","2","48","0","9","4","0"
"10502","1","9","29","0","0","0","0"
"10503","1","7","16","0","0","0","0"
"10504","1","6","39","0","0","0","0"
"10505","1","2","60","0","8","4","0"
"10507","1","11","32","1","4","3","1"
"10514","1","5","14","0","0","0","0"
"10515","1","9","15","0","0","0","0"
"10516","1","11","23","0","0","0","0"
"10518","1","3","45","0","4","4","0"
"10519","1","6","57","0","6","4","0"
"10520","1","7","43","0","5","2","0"
"10522","1","5","40","0","2","2","7"
"10523","1","5","11","0","0","0","0"
"10525","1","1","25","0","1","0","0"
"10527","1","9","104","0","9","8","3"
"10528","1","5","27","0","0","0","0"
"10529","1","11","34","0","2","2","0"
"10530","1","9","16","0","0","0","0"
"10532","1","5","6","0","0","0","0"
"10536","1","4","18","0","0","0","0"
"10543","1","7","16","0","0","0","0"
"10544","1","3","15","0","0","0","0"
"10545","1","2","79","2","16","9","7"
"10548","1","9","52","1","8","4","0"
"10550","1","11","85","2","17","12","6"
"10551","1","2","48","0","9","4","0"
"10554","1","6","15","0","0","0","0"
"10557","1","9","67","2","15","10","7"
"10562","1","11","35","0","0","0","0"
"10563","1","3","67","1","12","5","3"
"10565","1","6","57","5","8","11","14"
"10567","1","1","72","2","7","8","5"
"10568","1","5","52","0","5","3","4"
"10570","1","7","41","0","5","2","0"
"10572","1","5","30","0","0","0","0"
"10573","1","3","5","0","0","0","0"
"10577","1","9","47","0","3","1","6"
"10580","1","1","72","2","7","8","5"
"10581","1","1","1","0","0","0","0"
"10582","1","3","17","0","0","0","0"
"10583","1","1","12","0","0","0","0"
"10585","1","11","32","0","2","2","0"
"10586","1","6","58","0","5","5","0"
"10589","1","9","53","2","13","8","2"
"10593","1","3","64","1","13","5","0"
"10595","1","7","45","0","5","2","0"
"10599","1","7","63","0","9","5","116"
"10603","1","5","46","0","4","0","1"
"10609","1","2","48","0","9","4","0"
"10610","1","9","47","0","3","1","6"
"10616","1","6","43","0","5","2","0"
"10618","1","8","33","0","7","2","0"
"10619","1","6","53","2","13","8","2"
"10620","1","6","65","0","7","4","4"
"10621","1","5","35","0","1","1","0"
"10622","1","6","57","5","8","11","14"
"10624","1","2","29","0","2","2","0"
"10626","1","2","47","0","9","4","0"
"10628","1","7","16","0","0","0","0"
"10630","1","9","62","2","31","9","10"
"10634","1","5","29","0","0","0","0"
"10639","1","7","45","0","5","2","0"
"10640","1","5","52","0","2","2","0"
"10641","1","4","15","0","0","0","0"
"10642","1","2","48","0","9","4","0"
"10644","1","3","11","0","0","0","0"
"10645","1","3","43","0","1","1","0"
"10647","1","6","43","0","5","4","0"
"10649","1","1","72","2","7","8","5"
"10652","1","10","30","0","0","0","0"
"10653","1","2","18","0","2","2","0"
"10655","1","4","13","0","0","0","0"
"10658","1","2","60","1","10","6","1"
"10661","1","9","71","2","13","7","5"
"10662","1","9","47","0","3","1","6"
"10663","1","2","31","0","0","0","4"
"10664","1","5","19","0","0","0","0"
"10666","1","4","15","0","0","0","0"
"10669","1","2","29","0","2","2","0"
"10670","1","9","52","1","8","4","0"
"10671","1","2","48","0","9","4","0"
"10673","1","2","48","0","9","4","0"
"10674","1","9","18","0","1","1","0"
"10675","1","7","54","0","4","4","0"
"10676","1","6","39","0","2","1","0"
"10677","1","11","19","0","0","0","0"
"10679","1","6","35","0","2","1","0"
"10681","1","2","6","0","0","0","0"
"10683","1","6","11","0","0","0","0"
"10687","1","4","44","0","5","2","0"
"10690","1","2","48","0","9","4","0"
"10691","1","2","46","0","8","3","0"
"10693","1","5","24","0","2","2","0"
"10694","1","2","51","1","6","5","0"
"10698","1","2","23","0","0","0","1"
"10702","1","5","18","0","0","0","0"
"10708","1","5","25","0","2","0","0"
"10710","1","9","52","1","8","4","0"
"10711","1","7","33","0","0","0","0"
"10716","1","6","57","0","6","4","0"
"10717","1","4","28","0","0","0","1"
"10718","1","11","40","0","2","2","0"
"10720","1","5","18","0","0","0","0"
"10721","1","2","48","0","9","4","0"
"10729","1","2","46","0","8","3","0"
"10732","1","2","25","0","0","0","0"
"10735","1","2","48","0","9","4","0"
"10737","1","2","6","0","0","0","0"
"10740","1","3","46","0","3","2","0"
"10741","1","9","47","0","3","1","6"
"10743","1","7","96","2","17","12","6"
"10744","1","2","48","0","9","4","0"
"10748","1","6","39","0","5","2","0"
"10749","1","2","46","0","8","3","0"
"10750","1","7","33","0","0","0","0"
"10752","1","7","97","2","17","12","6"
"10754","1","2","48","0","9","4","0"
"10756","1","3","11","0","0","0","0"
"10762","1","3","21","0","0","0","0"
"10763","1","5","20","0","0","0","0"
"10765","1","9","47","0","3","1","6"
"10768","1","2","48","0","9","4","0"
"10781","1","6","42","0","5","3","0"
"10784","1","2","72","2","8","9","5"
"10785","1","6","50","0","5","3","10"
"10787","1","11","14","0","0","0","0"
"10789","1","3","11","0","0","0","0"
"10791","1","11","68","1","6","4","1"
"10793","1","2","24","0","0","0","6"
"10794","1","6","51","0","4","4","0"
"10795","1","9","17","0","2","2","0"
"10797","1","2","16","0","0","0","0"
"10802","1","3","72","3","10","13","11"
"10803","1","8","30","0","3","2","0"
"10806","1","1","80","5","20","15","12"
"10808","1","2","17","0","0","0","0"
"10809","1","1","42","0","2","2","1"
"10810","1","9","47","0","3","1","6"
"10814","1","2","45","2","5","6","10"
"10817","1","2","46","0","8","3","0"
"10818","1","2","47","0","5","4","0"
"10819","1","9","47","0","3","1","6"
"10823","1","3","46","0","3","2","0"
"10824","1","6","57","5","8","11","14"
"10826","1","9","87","1","12","8","1"
"10827","1","2","60","1","10","6","1"
"10829","1","11","20","0","1","1","0"
"10831","1","1","72","2","7","8","5"
"10834","1","1","72","2","7","8","5"
"10837","1","3","17","0","0","0","0"
"10838","1","6","15","0","0","0","0"
"10839","1","2","85","2","14","8","1"
"10841","1","9","52","1","8","4","0"
"10844","1","1","54","2","12","7","2"
"10845","1","7","16","0","0","0","0"
"10846","1","3","31","0","0","0","11"
"10847","1","9","50","1","8","4","0"
"10848","1","6","58","0","6","4","0"
"10854","1","7","18","0","0","0","0"
"10856","1","9","47","0","3","1","6"
"10861","1","5","20","0","0","0","0"
"10862","1","5","12","0","0","0","0"
"10863","1","3","17","0","0","0","0"
"10865","1","2","25","0","0","0","0"
"10866","1","6","59","0","5","5","0"
"10870","1","5","12","0","0","0","0"
"10872","1","1","70","2","7","8","5"
"10873","1","9","47","0","3","1","6"
"10875","1","11","68","1","6","4","1"
"10876","1","7","31","0","0","0","11"
"10877","1","3","19","0","0","0","0"
"10878","1","10","14","0","0","0","0"
"10879","1","2","19","0","0","0","0"
"10880","1","6","38","0","2","2","0"
"10881","1","11","68","1","6","4","1"
"10882","1","5","19","0","0","0","0"
"10884","1","1","73","2","7","8","5"
"10886","1","2","17","0","0","0","0"
"10888","1","1","72","2","7","8","5"
"10889","1","3","48","0","5","4","0"
"10894","1","9","72","3","13","9","5"
"10896","1","1","72","2","8","9","5"
"10899","1","5","20","0","0","0","0"
"10900","1","9","47","0","3","1","6"
"10902","1","2","48","0","9","4","0"
"10906","1","1","72","2","7","8","5"
"10909","1","2","72","2","8","9","5"
"10910","1","6","43","0","5","2","0"
"10911","1","2","24","0","0","0","4"
"10916","1","11","17","0","0","0","0"
"10917","1","2","16","0","0","0","0"
"10921","1","6","51","0","4","4","0"
"10922","1","5","34","0","0","0","4"
"10923","1","1","72","2","7","8","5"
"10926","1","1","13","0","0","0","0"
"10927","1","1","73","0","7","8","5"
"10930","1","7","58","1","9","5","7"
"10931","1","5","12","0","0","0","0"
"10933","1","2","48","0","9","4","0"
"10934","1","6","59","0","5","2","0"
"10936","1","1","72","2","7","8","5"
"10939","1","6","21","0","0","0","0"
"10942","1","1","72","2","7","8","5"
"10946","1","6","51","0","4","4","0"
"10948","1","3","50","0","3","2","0"
"10951","1","3","51","1","7","7","0"
"10952","1","5","33","0","0","0","0"
"10953","1","5","21","0","0","0","0"
"10954","1","3","11","0","0","0","0"
"10958","1","5","28","0","0","0","0"
"10959","1","6","36","0","1","1","0"
"10960","1","9","67","2","15","10","7"
"10963","1","5","20","0","0","0","0"
"10964","1","1","46","2","6","8","10"
"10967","1","6","51","0","5","2","0"
"10969","1","9","47","0","3","1","6"
"10970","1","1","12","0","0","0","0"
"10971","1","11","84","2","17","12","6"
"10973","1","6","40","0","1","1","0"
"10976","1","2","8","0","0","0","0"
"10979","1","4","12","0","0","0","0"
"10980","1","6","51","0","4","4","0"
"10981","1","11","14","0","0","0","0"
"10984","1","2","16","0","0","0","0"
"10985","1","5","17","0","0","0","0"
"10989","1","7","11","0","0","0","0"
"10994","1","11","11","0","0","0","0"
"10995","1","9","15","0","0","0","0"
"10996","1","2","25","0","0","0","0"
"10997","1","3","17","0","0","0","0"
"10999","1","7","44","0","12","2","0"
"11002","1","1","56","2","11","6","2"
"11005","1","9","47","0","3","1","6"
"11006","1","1","72","2","7","8","5"
"11007","1","11","18","0","0","0","0"
"11008","1","3","34","0","2","1","0"
"11010","1","7","50","2","6","5","0"
"11011","1","6","57","5","8","11","14"
"11016","1","6","47","0","2","2","1"
"11018","1","6","33","0","0","0","0"
"11019","1","9","52","1","8","4","0"
"11021","1","2","60","0","7","4","3"
"11023","1","6","7","0","0","0","0"
"11024","1","7","48","0","5","4","0"
"11025","1","2","12","0","0","0","0"
"11026","1","5","31","0","0","0","0"
"11028","1","5","39","0","4","0","0"
"11029","1","7","16","0","0","0","0"
"11030","1","5","15","0","0","0","0"
"11031","1","3","70","0","6","5","0"
"11032","1","1","31","0","0","0","11"
"11034","1","9","44","0","8","3","0"
"11036","1","2","48","0","9","4","0"
"11037","1","6","15","0","0","0","0"
"11038","1","2","43","1","7","7","0"
"11042","1","9","41","0","6","3","0"
"11044","1","2","13","0","0","0","0"
"11054","1","9","12","0","0","0","0"
"11055","1","4","42","0","2","2","0"
"11059","1","1","70","2","7","8","5"
"11061","1","6","65","0","7","4","4"
"11065","1","7","50","2","6","5","0"
"11068","1","2","11","0","0","0","0"
"11069","1","5","12","0","0","0","0"
"11070","1","5","59","0","5","4","0"
"11071","1","2","48","0","9","4","0"
"11072","1","11","23","0","0","0","0"
"11076","1","9","12","0","0","0","0"
"11077","1","4","18","0","0","0","0"
